Compound,Receptor,Concentration_uM,Replicate,Fold_induction
HFPO-TA,PXR,100.0,3,2.2593
HFPO-TA,PXR,100.0,4,2.4569
HFPO-TA,PXR,100.0,5,2.9369
HFPO-TA,PXR,100.0,6,2.906
HFPO-TA,PXR,100.0,7,2.8998
HFPO-TA,PXR,100.0,8,2.5868
HFPO-TA,PXR,100.0,9,3.3155
PFECHS,PPAR-a,0.3,1,0.9255
PFECHS,PPAR-a,0.3,2,1.1533
PFECHS,PPAR-a,0.3,3,0.8858
PFECHS,PPAR-a,0.3,4,1.2512
PFECHS,PPAR-a,0.3,5,1.0059
PFECHS,PPAR-a,0.3,6,0.9755
PFECHS,PPAR-a,0.3,7,0.9888
PFECHS,PPAR-a,0.3,8,1.1352
PFECHS,PPAR-a,0.3,9,0.9959
PFECHS,PPAR-a,1.0,1,1.0332
PFECHS,PPAR-a,1.0,2,0.9571
PFECHS,PPAR-a,1.0,3,1.2591
PFECHS,PPAR-a,1.0,4,1.055
PFECHS,PPAR-a,1.0,5,0.9442
PFECHS,PPAR-a,1.0,6,1.2251
PFECHS,PPAR-a,1.0,7,1.0999
PFECHS,PPAR-a,1.0,8,1.1333
PFECHS,PPAR-a,1.0,9,1.2351
PFECHS,PPAR-a,3.0,1,1.1331
PFECHS,PPAR-a,3.0,2,0.9959
PFECHS,PPAR-a,3.0,3,1.2215
PFECHS,PPAR-a,3.0,4,0.9441
PFECHS,PPAR-a,3.0,5,1.101
PFECHS,PPAR-a,3.0,6,1.2002
PFECHS,PPAR-a,3.0,7,1.0959
PFECHS,PPAR-a,3.0,8,0.859
PFECHS,PPAR-a,3.0,9,0.9959
PFECHS,PPAR-a,10.0,1,1.2087
PFECHS,PPAR-a,10.0,2,1.095
PFECHS,PPAR-a,10.0,3,1.1099
PFECHS,PPAR-a,10.0,4,1.2301
PFECHS,PPAR-a,10.0,5,1.0109
PFECHS,PPAR-a,10.0,6,1.1112
PFECHS,PPAR-a,10.0,7,1.0888
PFECHS,PPAR-a,10.0,8,1.0771
PFECHS,PPAR-a,10.0,9,1.3391
PFECHS,PPAR-a,20.0,1,1.0103
PFECHS,PPAR-a,20.0,2,0.9591
PFECHS,PPAR-a,20.0,3,1.322
PFECHS,PPAR-a,20.0,4,1.1591
PFECHS,PPAR-a,20.0,5,1.0591
PFECHS,PPAR-a,20.0,6,1.1154
PFECHS,PPAR-a,20.0,7,0.989
PFECHS,PPAR-a,20.0,8,1.2234
PFECHS,PPAR-a,20.0,9,1.1003
PFECHS,PPAR-a,50.0,1,1.3154
PFECHS,PPAR-a,50.0,2,1.2251
PFECHS,PPAR-a,50.0,3,1.3515
PFECHS,PPAR-a,50.0,4,1.2451
PFECHS,PPAR-a,50.0,5,1.3588
PFECHS,PPAR-a,50.0,6,1.099
PFECHS,PPAR-a,50.0,7,1.3148
PFECHS,PPAR-a,50.0,8,1.4134
PFECHS,PPAR-a,50.0,9,1.0909
PFECHS,PPAR-a,75.0,1,1.2591
PFECHS,PPAR-a,75.0,2,1.4145
PFECHS,PPAR-a,75.0,3,1.3899
PFECHS,PPAR-a,75.0,4,1.4509
PFECHS,PPAR-a,75.0,5,1.201
PFECHS,PPAR-a,75.0,6,1.3591
PFECHS,PPAR-a,75.0,7,1.4591
PFECHS,PPAR-a,75.0,8,1.4991
PFECHS,PPAR-a,75.0,9,1.2459
PFECHS,PPAR-a,100.0,1,1.5333
PFECHS,PPAR-a,100.0,2,1.3212
PFECHS,PPAR-a,100.0,3,1.2039
PFECHS,PPAR-a,100.0,4,1.6717
PFECHS,PPAR-a,100.0,5,1.505
PFECHS,PPAR-a,100.0,6,1.5994
PFECHS,PPAR-a,100.0,7,1.6109
PFECHS,PPAR-a,100.0,8,1.4759
PFECHS,PPAR-a,100.0,9,1.2394
PFECHS,PXR,0.3,1,1.1432
PFECHS,PXR,0.3,2,1.3231
PFECHS,PXR,0.3,3,1.0999
PFECHS,PXR,0.3,4,1.3241
PFECHS,PXR,0.3,5,1.4904
